episodes,rewards
0,18.0
1,32.0
2,22.0
3,18.0
4,26.0
5,17.0
6,31.0
7,16.0
8,18.0
9,20.0
10,37.0
11,23.0
12,16.0
13,38.0
14,31.0
15,16.0
16,17.0
17,20.0
18,21.0
19,32.0
20,22.0
21,22.0
22,33.0
23,36.0
24,14.0
25,32.0
26,18.0
27,22.0
28,21.0
29,31.0
30,29.0
31,42.0
32,32.0
33,17.0
34,30.0
35,21.0
36,51.0
37,20.0
38,46.0
39,60.0
40,36.0
41,34.0
42,30.0
43,21.0
44,19.0
45,40.0
46,55.0
47,30.0
48,32.0
49,39.0
50,18.0
51,32.0
52,28.0
53,28.0
54,34.0
55,22.0
56,28.0
57,30.0
58,34.0
59,21.0
60,21.0
61,40.0
62,28.0
63,30.0
64,22.0
65,26.0
66,15.0
67,30.0
68,38.0
69,32.0
70,15.0
71,28.0
72,37.0
73,32.0
74,58.0
75,25.0
76,38.0
77,20.0
78,34.0
79,39.0
80,30.0
81,30.0
82,34.0
83,18.0
84,40.0
85,23.0
86,33.0
87,19.0
88,31.0
89,19.0
90,16.0
91,32.0
92,36.0
93,35.0
94,30.0
95,22.0
96,35.0
97,23.0
98,28.0
99,22.0
100,32.0
101,36.0
102,22.0
103,20.0
104,35.0
105,29.0
106,45.0
107,36.0
108,38.0
109,32.0
110,28.0
111,44.0
112,15.0
113,29.0
114,17.0
115,41.0
116,37.0
117,40.0
118,31.0
119,31.0
120,35.0
121,34.0
122,34.0
123,29.0
124,21.0
125,41.0
126,29.0
127,17.0
128,18.0
129,36.0
130,33.0
131,31.0
132,34.0
133,29.0
134,38.0
135,21.0
136,37.0
137,37.0
138,33.0
139,30.0
140,10.0
141,25.0
142,49.0
143,42.0
144,44.0
145,35.0
146,35.0
147,41.0
148,37.0
149,43.0
150,45.0
151,43.0
152,33.0
153,35.0
154,29.0
155,53.0
156,49.0
157,58.0
158,35.0
159,33.0
160,69.0
161,37.0
162,59.0
163,37.0
164,33.0
165,31.0
166,37.0
167,57.0
168,31.0
169,64.0
170,28.0
171,31.0
172,35.0
173,33.0
174,27.0
175,30.0
176,35.0
177,32.0
178,72.0
179,32.0
180,96.0
181,212.0
182,29.0
183,65.0
184,31.0
185,31.0
186,128.0
187,209.0
188,93.0
189,106.0
190,178.0
191,16.0
192,27.0
193,196.0
194,179.0
195,186.0
196,37.0
197,45.0
198,38.0
199,28.0
200,38.0
201,42.0
202,32.0
203,259.0
204,221.0
205,33.0
206,241.0
207,218.0
208,15.0
209,223.0
210,30.0
211,235.0
212,239.0
213,35.0
214,225.0
215,21.0
216,45.0
217,224.0
218,29.0
219,204.0
220,233.0
221,40.0
222,27.0
223,38.0
224,39.0
225,39.0
226,32.0
227,18.0
228,213.0
229,20.0
230,38.0
231,35.0
232,231.0
233,173.0
234,206.0
235,200.0
236,119.0
237,209.0
238,202.0
239,223.0
240,215.0
241,222.0
242,206.0
243,214.0
244,198.0
245,190.0
246,188.0
247,188.0
248,36.0
249,123.0
250,197.0
251,205.0
252,189.0
253,209.0
254,200.0
255,204.0
256,197.0
257,84.0
258,208.0
259,214.0
260,179.0
261,195.0
262,238.0
263,267.0
264,122.0
265,210.0
266,235.0
267,208.0
268,210.0
269,65.0
270,50.0
271,236.0
272,195.0
273,206.0
274,203.0
275,119.0
276,37.0
277,260.0
278,198.0
279,212.0
280,198.0
281,196.0
282,228.0
283,229.0
284,224.0
285,218.0
286,71.0
287,208.0
288,200.0
289,227.0
290,215.0
291,200.0
292,31.0
293,196.0
294,233.0
295,227.0
296,213.0
297,205.0
298,206.0
299,243.0
300,209.0
301,186.0
302,188.0
303,219.0
304,209.0
305,204.0
306,57.0
307,16.0
308,210.0
309,222.0
310,242.0
311,239.0
312,222.0
313,240.0
314,214.0
315,183.0
316,242.0
317,205.0
318,211.0
319,242.0
320,214.0
321,237.0
322,213.0
323,173.0
324,177.0
325,196.0
326,227.0
327,194.0
328,180.0
329,224.0
330,205.0
331,206.0
332,202.0
333,231.0
334,218.0
335,195.0
336,221.0
337,269.0
338,245.0
339,206.0
340,204.0
341,33.0
342,204.0
343,248.0
344,34.0
345,219.0
346,205.0
347,228.0
348,233.0
349,217.0
350,218.0
351,206.0
352,243.0
353,245.0
354,205.0
355,226.0
356,226.0
357,53.0
358,205.0
359,249.0
360,214.0
361,257.0
362,241.0
363,196.0
364,214.0
365,215.0
366,223.0
367,196.0
368,233.0
369,229.0
370,49.0
371,221.0
372,231.0
373,227.0
374,215.0
375,230.0
376,96.0
377,218.0
378,209.0
379,34.0
380,196.0
381,228.0
382,224.0
383,217.0
384,193.0
385,159.0
386,224.0
387,210.0
388,256.0
389,233.0
390,235.0
391,213.0
392,194.0
393,206.0
394,200.0
395,213.0
396,207.0
397,204.0
398,196.0
399,168.0
400,196.0
401,207.0
402,216.0
403,206.0
404,213.0
405,221.0
406,239.0
407,202.0
408,15.0
409,228.0
410,209.0
411,134.0
412,212.0
413,14.0
414,214.0
415,203.0
416,207.0
417,207.0
418,242.0
419,236.0
420,241.0
421,207.0
422,195.0
423,224.0
424,249.0
425,203.0
426,195.0
427,239.0
428,232.0
429,202.0
430,225.0
431,255.0
432,222.0
433,236.0
434,226.0
435,243.0
436,199.0
437,198.0
438,192.0
439,218.0
440,201.0
441,197.0
442,245.0
443,153.0
444,67.0
445,229.0
446,19.0
447,200.0
448,215.0
449,214.0
450,236.0
451,244.0
452,232.0
453,233.0
454,38.0
455,218.0
456,198.0
457,183.0
458,200.0
459,182.0
460,188.0
461,212.0
462,239.0
463,239.0
464,204.0
465,143.0
466,214.0
467,16.0
468,198.0
469,207.0
470,177.0
471,226.0
472,215.0
473,214.0
474,227.0
475,196.0
476,192.0
477,189.0
478,233.0
479,209.0
480,215.0
481,198.0
482,214.0
483,200.0
484,199.0
485,190.0
486,178.0
487,212.0
488,212.0
489,212.0
490,205.0
491,217.0
492,210.0
493,38.0
494,222.0
495,212.0
496,205.0
497,198.0
498,197.0
499,186.0
500,201.0
